1. What is your age group?,2. What is your gender?,3. How often do you shop for luxury products?,4. How satisfied are you with the product quality of luxury products?,5. How do you rate your shopping experience of any luxury products?,6. How would you rate the delivery service of any luxury shop?,7. How satisfied are you with the customer service support?,8. Have you ever faced any issues with any luxury shop's services?,9. Would you recommend luxury products to others?,10. What is the main reason you choose luxury products?,11. Do you plan to shop at a luxury shop again in the future?
18–25,Female,Very frequently,Dissatisfied,3,Slow,Dissatisfied,"Yes, sometimes",Probably,Product quality,Maybe
26–35,Male,Regularly,Neutral,4,Average,Neutral,Rarely,Probably not,Fast delivery,Maybe
26–35,Female,Very frequently,Dissatisfied,1,Average,Neutral,Rarely,Probably not,Fast delivery,Maybe
26–35,Female,Regularly,Neutral,1,Fast,Satisfied,Rarely,Probably not,Fast delivery,Maybe
18–25,Male,This is my first time,Very satisfied,1,Very fast,Very satisfied,"Yes, frequently",Definitely,Product quality,"Yes, definitely"
26–35,Male,Occasionally,Satisfied,3,Fast,Satisfied,"Yes, frequently",Probably,Stylish design,"Yes, definitely"
18–25,Male,Regularly,Neutral,4,Average,Neutral,Rarely,Probably not,Affordable price,Probably not
26–35,Female,Very frequently,Dissatisfied,4,Slow,Neutral,Never,Definitely not,Affordable price,Maybe
26–35,Female,Occasionally,Satisfied,3,Fast,Satisfied,Rarely,Probably not,Affordable price,Maybe
26–35,Female,Very frequently,Neutral,5,Fast,Satisfied,"Yes, frequently",Definitely,Affordable price,"Yes, definitely"
26–35,Male,Very frequently,Satisfied,2,Fast,Satisfied,Rarely,Probably,Product quality,"Yes, definitely"
18–25,Male,Regularly,Neutral,3,Fast,Very satisfied,"Yes, sometimes",Probably,Stylish design,Maybe
18–25,Male,Occasionally,Satisfied,2,Very fast,Very satisfied,"Yes, sometimes",Probably,Stylish design,"Yes, definitely"
18–25,Male,Occasionally,Very satisfied,1,Very fast,Very satisfied,"Yes, frequently",Definitely,Product quality,"Yes, definitely"
26–35,Male,Very frequently,Dissatisfied,1,Slow,Dissatisfied,Never,Definitely not,Customer service,No
18–25,Female,Regularly,Satisfied,3,Fast,Neutral,"Yes, sometimes",Probably,Stylish design,Maybe
18–25,Male,This is my first time,Very satisfied,5,Very fast,Very satisfied,"Yes, sometimes",Probably,Affordable price,Maybe
18–25,Male,Regularly,Dissatisfied,3,Fast,Neutral,Rarely,Probably not,Affordable price,Maybe
18–25,Female,Regularly,Neutral,3,Average,Dissatisfied,Never,Probably not,Affordable price,Probably not
26–35,Male,Regularly,Neutral,2,Fast,Satisfied,Rarely,Probably not,Affordable price,Maybe
26–35,Male,Occasionally,Neutral,3,Fast,Neutral,"Yes, sometimes",Probably,Affordable price,Maybe
26–35,Male,Regularly,Neutral,3,Fast,Neutral,Rarely,Definitely not,Affordable price,Probably not
36–45,Female,Very frequently,Dissatisfied,1,Slow,Dissatisfied,Never,Definitely not,Customer service,No
26–35,Female,Very frequently,Dissatisfied,1,Slow,Dissatisfied,Never,Definitely not,Customer service,No
36–45,Female,Very frequently,Dissatisfied,1,Slow,Dissatisfied,Never,Definitely not,Customer service,No
36–45,Female,Very frequently,Dissatisfied,1,Slow,Dissatisfied,Never,Definitely not,Fast delivery,No
36–45,Female,Very frequently,Dissatisfied,1,Slow,Dissatisfied,Never,Definitely not,Customer service,No
26–35,Female,Very frequently,Dissatisfied,1,Slow,Dissatisfied,Never,Definitely not,Customer service,No
36–45,Female,Very frequently,Neutral,2,Slow,Dissatisfied,Never,Definitely not,Customer service,No
18–25,Male,Occasionally,Neutral,1,Average,Neutral,"Yes, sometimes",Definitely not,Fast delivery,Probably not
36–45,Female,Very frequently,Dissatisfied,3,Average,Neutral,Rarely,Probably not,Fast delivery,Probably not
26–35,Male,Regularly,Neutral,3,Average,Satisfied,Rarely,Definitely not,Fast delivery,Maybe
26–35,Male,Regularly,Neutral,3,Fast,Neutral,Rarely,Probably not,Fast delivery,Maybe
26–35,Female,Regularly,Dissatisfied,1,Slow,Dissatisfied,Never,Definitely not,Customer service,No
36–45,Male,Very frequently,Dissatisfied,5,Slow,Dissatisfied,Never,Definitely not,Customer service,No
36–45,Female,Very frequently,Dissatisfied,1,Slow,Dissatisfied,Never,Definitely not,Customer service,No
36–45,Female,Very frequently,Dissatisfied,1,Slow,Dissatisfied,Never,Definitely not,Customer service,No
36–45,Female,Very frequently,Dissatisfied,1,Slow,Dissatisfied,Never,Definitely not,Customer service,No
26–35,Female,Very frequently,Dissatisfied,1,Slow,Dissatisfied,Never,Definitely not,Customer service,Probably not
26–35,Female,Regularly,Neutral,1,Fast,Neutral,Never,Probably not,Fast delivery,Probably not
26–35,Female,Very frequently,Dissatisfied,3,Average,Neutral,Rarely,Definitely not,Brand reputation,Probably not
36–45,Female,Regularly,Dissatisfied,1,Slow,Dissatisfied,Never,Definitely not,Customer service,No
36–45,Female,Very frequently,Dissatisfied,1,Slow,Dissatisfied,Never,Definitely not,Customer service,No
36–45,Female,Very frequently,Dissatisfied,1,Slow,Dissatisfied,Never,Definitely not,Affordable price,Maybe
26–35,Male,Regularly,Dissatisfied,1,Slow,Dissatisfied,Never,Definitely not,Customer service,No
36–45,Female,Very frequently,Dissatisfied,1,Slow,Dissatisfied,Never,Definitely not,Customer service,No
36–45,Female,Very frequently,Dissatisfied,1,Slow,Dissatisfied,Never,Definitely not,Customer service,No
26–35,Female,Very frequently,Dissatisfied,1,Slow,Dissatisfied,Never,Definitely not,Brand reputation,No
36–45,Male,Very frequently,Dissatisfied,1,Slow,Dissatisfied,Never,Definitely not,Customer service,No
18–25,Male,Regularly,Satisfied,1,Very fast,Very satisfied,"Yes, sometimes",Definitely,Product quality,"Yes, definitely"
18–25,Male,This is my first time,Very satisfied,1,Very fast,Very satisfied,"Yes, frequently",Definitely,Product quality,Maybe
18–25,Male,Occasionally,Very satisfied,1,Very fast,Very satisfied,"Yes, frequently",Definitely,Stylish design,Maybe
18–25,Male,Regularly,Very satisfied,1,Very fast,Very satisfied,"Yes, frequently",Probably,Stylish design,"Yes, definitely"
18–25,Male,Occasionally,Satisfied,2,Very fast,Very satisfied,"Yes, frequently",Definitely,Product quality,"Yes, definitely"
18–25,Male,Regularly,Satisfied,2,Fast,Very satisfied,"Yes, sometimes",Probably,Affordable price,Maybe
18–25,Male,Regularly,Satisfied,1,Very fast,Very satisfied,"Yes, sometimes",Probably,Stylish design,"Yes, definitely"
18–25,Female,Regularly,Satisfied,3,Fast,Satisfied,"Yes, sometimes",Probably,Stylish design,"Yes, definitely"
26–35,Male,Regularly,Satisfied,3,Very fast,Satisfied,Rarely,Probably,Stylish design,Maybe
26–35,Female,Occasionally,Satisfied,2,Very fast,Satisfied,"Yes, sometimes",Definitely,Product quality,"Yes, definitely"
Under 18,Male,Very frequently,Dissatisfied,5,Slow,Dissatisfied,Never,Definitely not,Customer service,No
36–45,Female,Very frequently,Dissatisfied,1,Slow,Dissatisfied,Never,Definitely not,Customer service,No
36–45,Female,Very frequently,Dissatisfied,1,Slow,Dissatisfied,Never,Definitely not,Customer service,No
36–45,Female,Very frequently,Dissatisfied,1,Slow,Dissatisfied,Never,Definitely not,Customer service,No
18–25,Male,Occasionally,Neutral,4,Average,Neutral,"Yes, sometimes",Probably not,Affordable price,Probably not
36–45,Female,Very frequently,Dissatisfied,1,Slow,Dissatisfied,Never,Definitely not,Customer service,No
36–45,Female,Very frequently,Dissatisfied,1,Slow,Dissatisfied,Never,Definitely not,Fast delivery,No
36–45,Female,Very frequently,Dissatisfied,1,Average,Dissatisfied,Never,Definitely not,Customer service,No
26–35,Male,Very frequently,Dissatisfied,1,Very fast,Neutral,Never,Definitely not,Customer service,No
26–35,Female,Very frequently,Dissatisfied,1,Slow,Dissatisfied,Never,Definitely not,Customer service,No
36–45,Female,Regularly,Dissatisfied,1,Slow,Dissatisfied,Never,Definitely not,Customer service,No
36–45,Female,Very frequently,Dissatisfied,1,Slow,Dissatisfied,Never,Definitely not,Customer service,No
36–45,Female,Very frequently,Dissatisfied,1,Slow,Dissatisfied,Never,Definitely not,Customer service,No
36–45,Female,Very frequently,Dissatisfied,1,Slow,Dissatisfied,Never,Definitely not,Customer service,No
36–45,Female,Very frequently,Dissatisfied,1,Slow,Dissatisfied,Never,Definitely not,Customer service,No
36–45,Female,Very frequently,Dissatisfied,2,Slow,Dissatisfied,Never,Definitely not,Customer service,No
36–45,Female,Very frequently,Dissatisfied,1,Very fast,Dissatisfied,Never,Definitely not,Customer service,No
36–45,Female,Very frequently,Dissatisfied,1,Slow,Dissatisfied,Never,Definitely not,Customer service,No
26–35,Female,Very frequently,Dissatisfied,1,Slow,Dissatisfied,Never,Definitely not,Customer service,No
36–45,Female,Very frequently,Dissatisfied,1,Slow,Dissatisfied,Never,Definitely not,Customer service,No
36–45,Female,Very frequently,Dissatisfied,1,Slow,Dissatisfied,Never,Definitely not,Customer service,No
36–45,Female,Very frequently,Dissatisfied,1,Slow,Dissatisfied,Never,Definitely not,Customer service,No
36–45,Female,Very frequently,Dissatisfied,1,Slow,Dissatisfied,Never,Definitely not,Customer service,No
26–35,Female,Very frequently,Dissatisfied,1,Slow,Dissatisfied,Never,Definitely not,Customer service,No
36–45,Female,Very frequently,Dissatisfied,1,Average,Dissatisfied,Rarely,Probably,Brand reputation,Probably not
36–45,Female,Very frequently,Dissatisfied,1,Average,Dissatisfied,Never,Definitely not,Customer service,No
36–45,Male,Very frequently,Dissatisfied,1,Slow,Dissatisfied,Never,Probably,Fast delivery,Maybe
26–35,Female,Regularly,Dissatisfied,1,Slow,Neutral,"Yes, frequently",Definitely not,Customer service,No
36–45,Female,Very frequently,Dissatisfied,1,Slow,Dissatisfied,Never,Definitely not,Customer service,Probably not
26–35,Female,Very frequently,Dissatisfied,1,Slow,Dissatisfied,Never,Definitely,Customer service,Probably not
26–35,Female,Very frequently,Dissatisfied,1,Average,Satisfied,Rarely,Probably not,Fast delivery,Probably not
26–35,Female,Regularly,Neutral,1,Slow,Dissatisfied,Never,Probably not,Customer service,No
36–45,Female,Very frequently,Dissatisfied,1,Slow,Dissatisfied,Never,Definitely not,Customer service,No
36–45,Female,Very frequently,Dissatisfied,1,Slow,Dissatisfied,Never,Definitely not,Customer service,No
36–45,Female,Very frequently,Dissatisfied,1,Slow,Dissatisfied,Never,Definitely not,Customer service,No
36–45,Female,Very frequently,Neutral,1,Average,Dissatisfied,Never,Definitely not,Brand reputation,Probably not
26–35,Female,Very frequently,Dissatisfied,1,Slow,Dissatisfied,"Yes, sometimes",Definitely not,Stylish design,Probably not
26–35,Female,Very frequently,Neutral,2,Average,Neutral,Rarely,Probably not,Fast delivery,Maybe
36–45,Female,Very frequently,Dissatisfied,1,Average,Dissatisfied,Never,Definitely not,Brand reputation,Probably not
26–35,Female,Regularly,Satisfied,1,Average,Neutral,Rarely,Probably,Fast delivery,Probably not
26–35,Female,Regularly,Dissatisfied,1,Slow,Dissatisfied,Never,Definitely not,Fast delivery,No
36–45,Female,Very frequently,Dissatisfied,1,Slow,Dissatisfied,Never,Definitely not,Customer service,No
36–45,Female,Very frequently,Dissatisfied,1,Slow,Dissatisfied,Never,Definitely not,Customer service,No
26–35,Female,Very frequently,Dissatisfied,1,Slow,Dissatisfied,Never,Definitely not,Brand reputation,No
36–45,Female,Very frequently,Dissatisfied,1,Average,Neutral,Rarely,Probably not,Fast delivery,Maybe
26–35,Female,Very frequently,Dissatisfied,1,Slow,Dissatisfied,Never,Definitely not,Customer service,No
26–35,Female,Very frequently,Dissatisfied,1,Slow,Dissatisfied,Never,Definitely not,Brand reputation,No
36–45,Female,Very frequently,Dissatisfied,1,Slow,Dissatisfied,Never,Definitely not,Customer service,Maybe
36–45,Female,Regularly,Dissatisfied,1,Slow,Neutral,"Yes, sometimes",Probably not,Customer service,Probably not
26–35,Female,Very frequently,Very satisfied,1,Slow,Dissatisfied,Rarely,Definitely not,Fast delivery,Maybe
26–35,Female,Very frequently,Dissatisfied,1,Slow,Dissatisfied,Rarely,Definitely not,Fast delivery,Probably not
Under 18,Female,This is my first time,Very satisfied,5,Very fast,Very satisfied,"Yes, frequently",Definitely,Customer service,"Yes, definitely"
18–25,Female,Regularly,Dissatisfied,1,Slow,Dissatisfied,Never,Definitely not,Customer service,No
26–35,Female,Regularly,Satisfied,1,Average,Neutral,Rarely,Probably not,Brand reputation,Probably not
18–25,Male,Very frequently,Satisfied,1,Average,Dissatisfied,Never,Definitely not,Fast delivery,Probably not
36–45,Female,Very frequently,Dissatisfied,1,Slow,Dissatisfied,Never,Definitely not,Brand reputation,Maybe
18–25,Male,This is my first time,Very satisfied,5,Slow,Dissatisfied,"Yes, frequently",Probably,Product quality,"Yes, definitely"
Under 18,Male,This is my first time,Very satisfied,5,Very fast,Very satisfied,"Yes, frequently",Definitely,Product quality,"Yes, definitely"
Under 18,Male,Occasionally,Very satisfied,5,Very fast,Very satisfied,"Yes, frequently",Definitely,Product quality,"Yes, definitely"
Under 18,Male,Regularly,Very satisfied,5,Very fast,Very satisfied,"Yes, frequently",Definitely,Product quality,"Yes, definitely"
Under 18,Male,Regularly,Very satisfied,5,Very fast,Very satisfied,"Yes, frequently",Definitely,Product quality,"Yes, definitely"
Under 18,Male,Occasionally,Satisfied,4,Fast,Neutral,Rarely,Probably,Product quality,Maybe
18–25,Male,Regularly,Satisfied,2,Fast,Satisfied,"Yes, sometimes",Definitely,Affordable price,Maybe
36–45,Male,Very frequently,Very satisfied,5,Average,Satisfied,Never,Definitely,Customer service,"Yes, definitely"
18–25,Male,Occasionally,Neutral,5,Average,Very satisfied,"Yes, sometimes",Probably,Affordable price,"Yes, definitely"
Under 18,Male,Occasionally,Dissatisfied,4,Fast,Satisfied,"Yes, sometimes",Probably,Stylish design,"Yes, definitely"
Under 18,Male,Occasionally,Neutral,4,Slow,Neutral,Rarely,Probably not,Fast delivery,"Yes, definitely"
26–35,Female,Very frequently,Dissatisfied,1,Slow,Dissatisfied,Never,Definitely not,Customer service,No
36–45,Female,Very frequently,Dissatisfied,1,Average,Dissatisfied,Rarely,Probably,Brand reputation,Probably not
36–45,Female,Very frequently,Dissatisfied,1,Average,Dissatisfied,Never,Definitely not,Customer service,No
18–25,Female,Occasionally,Very satisfied,2,Fast,Satisfied,"Yes, frequently",Probably,Affordable price,"Yes, definitely"
18–25,Male,Occasionally,Neutral,3,Fast,Satisfied,"Yes, sometimes",Probably,Stylish design,"Yes, definitely"
Under 18,Male,Occasionally,Neutral,3,Fast,Satisfied,"Yes, sometimes",Probably,Stylish design,"Yes, definitely"
18–25,Male,Regularly,Neutral,3,Fast,Satisfied,Rarely,Probably,Product quality,"Yes, definitely"
18–25,Female,Regularly,Neutral,3,Fast,Satisfied,Rarely,Probably,Affordable price,Maybe
18–25,Male,Occasionally,Satisfied,3,Fast,Neutral,Rarely,Probably,Affordable price,Maybe
18–25,Male,Occasionally,Very satisfied,2,Fast,Satisfied,Rarely,Probably not,Fast delivery,Probably not
18–25,Female,Occasionally,Neutral,2,Fast,Neutral,"Yes, sometimes",Probably not,Fast delivery,Maybe
18–25,Male,Regularly,Neutral,2,Fast,Satisfied,Rarely,Probably not,Fast delivery,Maybe
18–25,Male,Occasionally,Satisfied,2,Fast,Satisfied,"Yes, sometimes",Probably not,Affordable price,Maybe
26–35,Female,Regularly,Satisfied,2,Fast,Neutral,Rarely,Probably not,Fast delivery,Maybe
26–35,Female,Regularly,Satisfied,3,Fast,Neutral,"Yes, sometimes",Probably,Affordable price,Maybe
18–25,Male,Regularly,Satisfied,3,Fast,Satisfied,"Yes, sometimes",Probably,Stylish design,Maybe
18–25,Male,Occasionally,Satisfied,2,Fast,Neutral,Rarely,Probably,Affordable price,Maybe
18–25,Male,Regularly,Satisfied,1,Very fast,Very satisfied,"Yes, sometimes",Definitely,Product quality,"Yes, definitely"